Target word  Similar_word   Similar_score
good  good  0.9999999999999999
good  nice  0.5206043662165373
good  plus  0.49250600569373904
good  fantastic  0.47995606153810555
good  guys  0.4716543787989119
good  thing  0.4607600438811261
good  wise  0.4585844434741613
good  really  0.45241230069582183
good  ass  0.43976266861173574
good  decent  0.43142307044310635
bad  bad  1.0000000000000002
bad  poor  0.5059171516522323
bad  horrible  0.4858148066493191
bad  type  0.4842379717772425
bad  unbelievable  0.48136624422664875
bad  qualify  0.4811172566978297
bad  awful  0.47870119485906015
bad  anyway  0.4746045897620128
bad  terrible  0.4672260985775816
bad  acting  0.46678521975686404
scary  scary  0.9999999999999999
scary  frightening  0.5143231436402007
scary  halloween  0.5079881806697002
scary  weird  0.50473895999186
scary  maniac  0.4964275798331077
scary  menacing  0.49241173270774297
scary  atmospheric  0.4817149950006351
scary  creepy  0.4796216582655577
scary  gory  0.4744992615154605
scary  madman  0.47180491190702356
funny  funny  1.0
funny  hilarious  0.5050760370927193
funny  unintentionally  0.504488366140853
funny  goofy  0.4998422272370897
funny  laugh  0.4895359381703044
funny  witty  0.4853721434514179
funny  clever  0.45962139142423486
funny  parts  0.45930121554392145
funny  incredibly  0.4505839564735148
funny  loud  0.4490036653925531
