Target word  Similar_word   Similar_score
good  good  1.0000000000000002
good  decent  0.5343294946073406
good  outstanding  0.4864698107415901
good  slick  0.44183652269157925
good  fine  0.43706749659542776
good  wasted  0.43492309351242986
good  solid  0.4285789384636778
good  watchable  0.4269312470906508
good  reasonable  0.42256373270097325
good  quite  0.42200285796094605
bad  bad  0.9999999999999999
bad  typical  0.5462529306020353
bad  immature  0.5458720685755869
bad  guys  0.5230491570667185
bad  rip  0.48682412576804934
bad  banal  0.48431867234042913
bad  generic  0.4819681882536484
bad  terrible  0.4799584771754708
bad  inept  0.47031467793843285
bad  stupid  0.47025498439693747
scary  scary  1.0000000000000002
scary  wardrobe  0.5149283803739879
scary  ghostly  0.5000780459738025
scary  creepy  0.4898831394745734
scary  charming  0.48683055776500295
scary  bloody  0.4843060241746938
scary  gory  0.484036882286656
scary  throw  0.48379615897305417
scary  cannibalism  0.4815440143135691
scary  amusing  0.4755921643353116
funny  funny  1.0000000000000002
funny  jokes  0.5440399552784897
funny  lovable  0.5060191059601165
funny  silly  0.4856340856094188
funny  overacted  0.478268253039851
funny  goofy  0.4755063431236116
funny  vulgar  0.47495871387981903
funny  bizarre  0.4710635545758013
funny  campy  0.47089233630688576
funny  clever  0.46943301971335527
