Target_word  Similar_word   Similar_score
good  good  1.0000000000000002
good  bad  0.513761025522708
good  superb  0.506428162956229
good  interesting  0.5039562818708739
good  impressive  0.4992668021323562
good  fine  0.4984469977734214
good  top-notch  0.49264541411527873
good  decent  0.4922636569213583
good  slick  0.4907698817931314
good  entertaining  0.4904675049074396
bad  bad  1.0000000000000002
bad  terrible  0.5618365748282897
bad  lousy  0.5462366054533841
bad  existent  0.5190072206683397
bad  good  0.513761025522708
bad  horrible  0.5030164234865531
bad  crappy  0.49140235437501634
bad  poor  0.4865205545068165
bad  guys  0.4721504690486624
bad  either  0.47204586138946447
scary  scary  1.0
scary  memorable  0.515039325649318
scary  terrifying  0.5045603671021675
scary  suspenseful  0.5039928927461366
scary  action-packed  0.5036131233896896
scary  spooky  0.49499950703745865
scary  interesting  0.4945955251273326
scary  frightening  0.489088588394872
scary  gory  0.4854582118505373
scary  scarier  0.4798274467266739
funny  funny  1.0
funny  hilarious  0.6205587954527789
funny  amusing  0.5938840206897691
funny  entertaining  0.5694016999036218
funny  fun  0.5567646584963897
funny  humorous  0.545429925984137
funny  genuinely  0.5379116377617769
funny  effective  0.5369529769589816
funny  charming  0.5199589757250324
funny  unintentionally  0.5108877557350717
